type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1386433,0,110,0,0,1.58344,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 10 21 10 23 11 22 13 22 13 19 12 20 13 19 13 19 14 18 15 18 16 18 16 17 16 17 17 15 16 18 17 15 15 15 15 15 14 14 15 14 15 15 15 13 15 14 14 15 16 15 13 0 0 15 13 16 13 16 12 16 11 14 12 16 11 15 12 15 10 16 10 16 9 17 9 16 10 17 9 17 8 17 9 17 7 19 8 17 6 17 6 17 5 18 7 18 7 19 7 18 5 18 7 17 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1386433,0,110,0,0,1.58908,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 10 21 10 23 11 22 13 22 13 19 12 20 13 19 13 19 14 18 15 18 16 18 16 17 16 17 17 15 16 18 17 15 15 15 15 15 14 14 15 14 15 15 15 13 15 14 14 15 16 15 13 0 0 15 13 16 13 16 12 16 11 14 12 16 11 15 12 15 10 16 10 16 9 17 9 16 10 17 9 17 8 17 9 17 7 19 8 17 6 17 6 17 5 18 7 18 7 19 7 18 5 18 7 17 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,2,6,1,1480096,0,110,0,0,1.65523,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 -12 21 -12 22 -12 24 -10 24 -10 22 -8 22 -8 22 -8 23 -7 23 -6 24 -6 24 -6 23 -5 23 -4 22 -3 24 -6 21 -4 21 -4 20 -3 21 -3 21 -3 21 -4 20 -3 20 -4 22 -4 20 -5 0 0 20 -4 20 -6 19 -6 18 -7 18 -4 19 -6 19 -6 18 -6 19 -7 16 -8 17 -9 17 -7 17 -8 17 -9 17 -9 16 -10 18 -11 15 -10 16 -10 14 -11 16 -10 17 -10 17 -11 16 -12 16 -11 15 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,2,6,1,1480096,0,110,0,0,1.66173,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 -12 21 -12 22 -12 24 -10 24 -10 22 -8 22 -8 22 -8 23 -7 23 -6 24 -6 24 -6 23 -5 23 -4 22 -3 24 -6 21 -4 21 -4 20 -3 21 -3 21 -3 21 -4 20 -3 20 -4 22 -4 20 -5 0 0 20 -4 20 -6 19 -6 18 -7 18 -4 19 -6 19 -6 18 -6 19 -7 16 -8 17 -9 17 -7 17 -8 17 -9 17 -9 16 -10 18 -11 15 -10 16 -10 14 -11 16 -10 17 -10 17 -11 16 -12 16 -11 15 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1483131,0,110,0,0,1.66836,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 25 5 25 4 23 3 24 3 23 2 24 2 24 1 25 0 25 0 24 0 24 0 23 1 25 0 21 0 22 0 21 0 21 0 21 1 22 -1 21 0 20 0 22 1 20 0 0 1 20 3 21 3 20 3 19 2 18 4 19 4 20 4 18 5 19 6 17 5 18 5 18 6 18 7 17 6 18 8 17 8 19 8 15 9 16 9 15 9 17 9 17 10 17 10 16 9 17 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1483131,0,110,0,0,1.67374,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 25 5 25 4 23 3 24 3 23 2 24 2 24 1 25 0 25 0 24 0 24 0 23 1 25 0 21 0 22 0 21 0 21 0 21 1 22 -1 21 0 20 0 22 1 20 0 0 1 20 3 21 3 20 3 19 2 18 4 19 4 20 4 18 5 19 6 17 5 18 5 18 6 18 7 17 6 18 8 17 8 19 8 15 9 16 9 15 9 17 9 17 10 17 10 16 9 17 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1483131,0,110,0,0,1.67903,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 25 5 25 4 23 3 24 3 23 2 24 2 24 1 25 0 25 0 24 0 24 0 23 1 25 0 21 0 22 0 21 0 21 0 21 1 22 -1 21 0 20 0 22 1 20 0 0 1 20 3 21 3 20 3 19 2 18 4 19 4 20 4 18 5 19 6 17 5 18 5 18 6 18 7 17 6 18 8 17 8 19 8 15 9 16 9 15 9 17 9 17 10 17 10 16 9 17 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1483131,0,110,0,0,1.68431,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 25 5 25 4 23 3 24 3 23 2 24 2 24 1 25 0 25 0 24 0 24 0 23 1 25 0 21 0 22 0 21 0 21 0 21 1 22 -1 21 0 20 0 22 1 20 0 0 1 20 3 21 3 20 3 19 2 18 4 19 4 20 4 18 5 19 6 17 5 18 5 18 6 18 7 17 6 18 8 17 8 19 8 15 9 16 9 15 9 17 9 17 10 17 10 16 9 17 10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,5,6,1,1547347,0,110,0,0,1.72261,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 25 0 23 0 25 -2 25 -3 26 -4 22 -5 24 -5 22 -5 23 -7 23 -7 24 -8 24 -8 22 -8 23 -8 21 -8 24 -7 20 -8 21 -7 19 -8 20 -8 19 -7 20 -9 19 -8 19 -8 21 -6 19 0 0 -7 19 -6 20 -5 20 -5 20 -6 18 -5 19 -6 20 -5 18 -4 20 -3 19 -2 19 -3 18 -3 19 -2 18 -2 19 0 19 -1 21 0 18 0 19 1 18 -1 19 0 19 0 20 2 19 0 19 1 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,5,6,1,1547347,0,110,0,0,1.72884,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 25 0 23 0 25 -2 25 -3 26 -4 22 -5 24 -5 22 -5 23 -7 23 -7 24 -8 24 -8 22 -8 23 -8 21 -8 24 -7 20 -8 21 -7 19 -8 20 -8 19 -7 20 -9 19 -8 19 -8 21 -6 19 0 0 -7 19 -6 20 -5 20 -5 20 -6 18 -5 19 -6 20 -5 18 -4 20 -3 19 -2 19 -3 18 -3 19 -2 18 -2 19 0 19 -1 21 0 18 0 19 1 18 -1 19 0 19 0 20 2 19 0 19 1 18 0 0 0 0 0 0 0 0 0 0 ]
